Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
7.766666667,1005.05,0.96,19.2878
8.2,1004.8,0.96,20.447
8.177777778,1004.89,0.93,27.8691
7.311111111,1007,0.82,6.7459
7.644444444,1004.3,0.93,14.9086
6.622222222,1003.68,0.93,25.0355
6.683333333,1003.86,0.93,19.8352
6.088888889,1003.57,0.93,28.0945
6.066666667,1003.96,0.93,27.9818
6.144444444,1004.1,0.93,30.8637
7.133333333,1004.26,0.8,32.1678
7.205555556,1004.18,0.86,26.5328
7.566666667,1004.23,0.84,28.336
8.9,1004.47,0.77,29.8333
9.961111111,1004.52,0.71,28.4809
9.888888889,1004.29,0.71,28.5131
11.06666667,1003.93,0.71,25.6956
10.11666667,1004,0.76,25.3414
11.03888889,1004.3,0.66,21.413
10.65,1004,0.7,17.8549
10.05,1004.39,0.7,15.1984
9.9,1005.48,0.66,15.7297
8.794444444,1005.89,0.71,12.3648
7.827777778,1006.37,0.72,13.8943
7.855555556,1006.56,0.72,9.8049
7.316666667,1007.07,0.75,6.6654
7.244444444,1007.37,0.75,7.1162
5.438888889,1012.23,0.88,3.7191
7.2,1007.28,0.76,14.4739
6.688888889,1007.18,0.7,20.5275
6.211111111,1007.39,0.73,19.3039
6.111111111,1007.67,0.76,17.4363
6.111111111,1007.98,0.76,20.4148
6.172222222,1008.57,0.76,17.0499
7.222222222,1008.87,0.71,20.5114
7.288888889,1009.44,0.73,17.6456
7.405555556,1010.03,0.72,14.4095
7.961111111,1010.22,0.7,10.7548
8.033333333,1010.39,0.7,4.8622
9.077777778,1010.24,0.65,2.3828
9.05,1010,0.62,0.322
9.05,1009.98,0.65,3.2522
9.183333333,1010.05,0.65,3.0107
9.072222222,1010.1,0.7,10.465
7.983333333,1010.39,0.75,7.3416
8.072222222,1010.91,0.75,9.5151
7.894444444,1011.32,0.82,9.9981
7.311111111,1011.61,0.83,13.685
7.338888889,1011.97,0.84,11.5437
6.622222222,1012.22,0.85,12.719
6.066666667,1012.74,0.88,12.8961
8.338888889,1015.35,0.88,0.6923
5.183333333,1013.29,0.91,5.5384
3.722222222,1013.39,0.94,5.2003
4.855555556,1013.45,0.93,5.6189
5.211111111,1013.4,0.92,4.7656
6.255555556,1013.81,0.92,7.9212
7.794444444,1014.7,0.87,9.7566
10.05,1014.67,0.76,9.6922
12.2,1014.66,0.66,14.49
12.7,1014.8,0.63,20.3343
13.93333333,1014.47,0.58,23.5865
15.09444444,1014.16,0.59,22.2985
15.15,1014.07,0.5,14.7154
16.17777778,1013.34,0.44,14.49
16.25,1012.72,0.55,14.7154
16.29444444,1012.38,0.5,19.5937
16.1,1012.38,0.56,14.8281
12.95555556,1012.72,0.68,11.9784
13.85,1013.42,0.64,11.5598
12.77777778,1014.41,0.69,14.2485
12.15,1014.89,0.72,11.2539
10.67777778,1014.91,0.81,5.7799
10.44444444,1014.75,0.83,2.6404
9.822222222,1015.55,0.8,5.313
11.02777778,1015.7,0.74,11.3827
7.138888889,1016.43,0.93,3.6547
7.622222222,1016.56,0.89,10.8675
7.627777778,1017.15,0.86,6.5205
7.044444444,1017.37,0.86,11.3988
8.6,1018.25,0.84,9.66
9.65,1019.24,0.84,15.9551
12.10555556,1019.83,0.72,13.1698
12.77777778,1020.51,0.71,13.1698
13.81111111,1020.91,0.65,9.6761
16.01666667,1020.6,0.48,11.2378
17.12777778,1020.39,0.47,12.7029
17.14444444,1020.34,0.43,10.6099
17.77777778,1019.7,0.4,7.9534
17.77777778,1018.89,0.37,2.5921
17.80555556,1018.48,0.43,11.0124
16.15555556,1017.87,0.52,9.1931
14.05,1017.56,0.63,9.1609
13.08888889,1017.38,0.67,9.2736
12.28888889,1017.58,0.72,9.4507
12.77777778,1017.65,0.66,11.0768
12.72777778,1017.36,0.67,13.3791
12.26666667,1016.8,0.69,14.1358
11.71111111,1016.64,0.71,11.3183
10.82777778,1013.13,0.86,9.177
12.2,1014.79,0.59,14.168
12.2,1014.25,0.6,14.2968
11.68888889,1013.95,0.68,13.8299
11.20555556,1013.63,0.77,14.007
11.13333333,1013.27,0.77,15.4882
11.43888889,1013.56,0.77,13.8782
13.03333333,1012.85,0.81,14.4578
17.24444444,1012.15,0.62,25.0194
17.73888889,1011.71,0.53,27.37
17.84444444,1011.28,0.56,22.218
18.86111111,1010.99,0.56,23.5382
18.66666667,1010.93,0.56,19.8996
17.82222222,1010.7,0.56,17.5007
17.8,1010.52,0.59,17.6939
17.35,1010.69,0.57,19.5615
16.06666667,1010.86,0.67,21.8155
14.93333333,1011.14,0.73,17.2753
13.92222222,1011.64,0.78,11.7691
12.75555556,1012.02,0.84,11.0446
12.75555556,1012.21,0.84,11.0607
12.37222222,1012.33,0.86,7.2933
11.18333333,1012.6,0.93,6.923
11.66666667,1012.8,0.9,11.1734
8.977777778,1012.66,0.95,10.3201
10.57777778,1012.32,0.93,11.1734
10.53333333,1012.33,0.89,14.007
10.58888889,1012.55,0.87,7.2933
9.983333333,1012.71,0.89,6.7298
11.02222222,1013.01,0.86,7.889
13.53888889,1013.23,0.75,11.8657
13.88888889,1013.31,0.68,20.0123
15,1013.4,0.67,17.5812
17.18333333,1013.27,0.57,15.9551
16.2,1013.02,0.62,16.3093
17.75,1013.03,0.56,17.7744
18.40555556,1012.55,0.54,19.0785
17.82222222,1012.03,0.59,17.5973
17.31111111,1011.81,0.57,20.3343
17.50555556,1011.33,0.55,13.7172
17.26666667,1011.2,0.54,14.3773
15.13888889,1011.5,0.61,10.8997
13.25,1011.76,0.69,4.7173
12.29444444,1012.01,0.72,4.669
10.7,1012.31,0.79,3.5742
9.855555556,1012.51,0.85,5.7477
9.522222222,1012.52,0.88,11.27
8.405555556,1012.61,0.92,3.1234
13.01111111,1011.27,0.82,9.6278
7.733333333,1012.54,0.96,3.4293
6.138888889,1012.44,0.96,3.3488
6.472222222,1012.62,0.95,2.9946
6.627777778,1012.75,0.96,3.3005
8.688888889,1012.96,0.93,1.4329
11.99444444,1013.38,0.81,2.415
13.76666667,1013.14,0.78,4.1538
15.08888889,1013.33,0.77,7.3738
16.45555556,1013.56,0.68,7.8085
17.31111111,1013.61,0.62,7.3738
17.87222222,1013.11,0.64,8.372
19.03888889,1012.69,0.47,7.0679
18.97777778,1012.2,0.51,10.8675
19.00555556,1011.7,0.55,4.8139
19.01111111,1011.4,0.53,4.7978
17.86666667,1011.32,0.64,10.9319
17.26666667,1011.23,0.62,10.8514
16.18888889,1011.5,0.61,5.0876
14.88333333,1012.05,0.72,9.177
14.32777778,1012.15,0.75,10.9319
14.51111111,1012.09,0.75,6.3756
14.37222222,1011.83,0.75,6.5366
14.87777778,1011.45,0.72,14.2163
10.40555556,1012.05,0.92,3.6064
12.82222222,1011.18,0.83,8.4364
12.8,1010.07,0.85,14.4256
12.82777778,1009.83,0.86,13.8943
12.26666667,1009.8,0.85,15.778
12.26666667,1009.99,0.85,15.5848
12.18333333,1010.21,0.82,12.3809
12.17222222,1010.41,0.8,20.3826
12.71111111,1010.33,0.83,22.0892
15.60555556,1010.43,0.78,22.3468
16.02222222,1010.29,0.78,18.0642
17.2,1010.1,0.67,17.6456
17.21666667,1009.96,0.71,14.0875
17.82777778,1009.86,0.69,13.4113
17.82777778,1009.47,0.69,14.6188
17.73333333,1009.63,0.69,9.2414
16.27222222,1009.39,0.71,23.0713
13.16666667,1011.07,0.93,3.7674
13.25555556,1011.23,0.93,3.1395
13.01111111,1011.35,0.93,10.3362
12.45555556,1011.67,0.91,5.796
12.48888889,1011.76,0.9,9.8854
9.555555556,1015.68,0.8,6.4883
10.62222222,1015.41,0.79,14.0231
8.722222222,1014.98,0.93,4.5724
10.53333333,1015.18,0.77,10.7709
9.444444444,1014.7,0.83,6.5366
9.888888889,1014.64,0.83,6.0858
10.36666667,1014.31,0.78,10.7065
8.888888889,1014.63,0.89,10.4972
9.977777778,1014.82,0.84,8.0017
12.2,1014.82,0.73,2.4633
13.96111111,1015,0.67,9.3058
14.94444444,1014.9,0.67,7.1645
16.18333333,1014.35,0.71,11.753
16.36666667,1014.51,0.61,7.1323
17.37222222,1014.32,0.57,3.6225
17.67222222,1013.93,0.51,1.7549
17.72222222,1013.45,0.53,8.6779
16.23888889,1013.43,0.61,2.8336
14.06666667,1013.58,0.71,9.2414
13.95555556,1013.24,0.76,7.4221
12.28888889,1013.7,0.8,3.542
10.02222222,1014.14,0.86,3.1073
9.377777778,1014.34,0.86,6.44
9.416666667,1014.6,0.9,4.6046
11.82777778,1011.68,0.92,3.0268
10.76111111,1011.98,0.91,5.1681
12.15555556,1015.64,0.95,2.8497
9.672222222,1012.26,0.94,5.7155
8.15,1012.63,0.94,6.762
10.2,1012.62,0.95,5.6189
10.11666667,1012.85,0.99,2.254
10.16111111,1013.61,0.99,0.3381
11.24444444,1013.9,0.98,2.7531
12.24444444,1014.31,0.99,2.254
13.91111111,1014.43,0.92,8.0983
15.61666667,1014.73,0.82,2.2862
15.07222222,1014.92,0.86,3.2844
15.07222222,1014.73,0.82,7.5992
14.26666667,1014.92,0.87,10.5616
16.01666667,1014.76,0.81,6.6654
15.02777778,1014.37,0.86,7.7119
13.94444444,1014.83,0.89,7.2772
12.91666667,1015.11,0.95,11.4793
12.89444444,1015.14,0.95,5.2808
12.4,1015.5,0.98,2.3506
12.26666667,1015.76,0.99,8.05
12.22222222,1016.35,0.96,6.1985
11.25,1016.38,0.96,2.7692
11.52777778,1016.43,0.96,3.1556
11.53888889,1016.56,0.96,5.9892
9.438888889,1017.23,0.96,5.9731
11.43888889,1016.17,0.96,6.279
11.39444444,1016.25,0.96,6.44
11.52777778,1016.13,0.96,6.4239
11.95,1016.17,0.93,4.83
11.97222222,1016.45,1,9.66
12.63333333,1016.94,0.96,7.6636
12.75555556,1017.06,0.96,7.9695
13.84444444,1017.45,0.9,7.9212
13.17222222,1017.77,0.94,10.3845
15.06666667,1017.73,0.86,8.1466
17.24444444,1017.53,0.75,7.1645
16.31666667,1017.31,0.76,13.3469
17.38333333,1016.82,0.74,13.6206
15.27222222,1016.6,0.76,8.2754
17.45555556,1016.39,0.72,5.2808
16.22222222,1016.33,0.77,11.1573
15.08333333,1016.52,0.82,3.6869
13.99444444,1016.81,0.88,1.1431
12.17222222,1017.34,0.92,0.6601
11.08888889,1017.54,0.95,4.8461
11.09444444,1017.43,0.95,3.381
9.883333333,1017.65,0.96,3.3649
9.355555556,1017.56,0.96,6.4239
9.861111111,1016.16,0.96,3.2361
8.272222222,1017.16,0.99,3.3166
8.866666667,1017.15,0.96,2.6243
8.816666667,1017.28,0.96,3.9445
7.155555556,1017.15,1,1.8515
8.85,1017.36,0.99,3.4776
11.17777778,1017.7,0.93,2.8819
12.38888889,1017.72,0.98,3.4293
14.14444444,1017.82,0.88,4.8783
17.1,1017.77,0.72,3.059
18.93888889,1017.3,0.64,4.2021
17.91666667,1016.9,0.68,4.0894
19.98333333,1016.4,0.53,1.2236
20.07222222,1015.9,0.62,9.0643
20.07222222,1015.29,0.56,9.4829
20.08333333,1014.9,0.58,7.4865
19.08888889,1014.68,0.63,9.1287
17.45,1014.78,0.62,7.567
15.56666667,1015.04,0.74,0.5152
12.49444444,1015.51,0.91,3.9445
12.24444444,1015.72,0.89,1.5295
11.41666667,1015.79,0.92,2.9624
10.55555556,1015.83,0.95,6.0375
10.46666667,1015.95,0.93,3.0751
10.25,1017.13,0.95,5.2969
9.355555556,1015.82,0.96,1.5295
8.311111111,1015.82,0.96,3.22
8.811111111,1015.89,0.96,3.3971
8.733333333,1015.83,0.93,6.3434
11.93333333,1016.12,0.93,11.27
14.51666667,1016.23,0.84,1.7066
18.73333333,1016.23,0.68,3.22
20.02777778,1016.38,0.6,7.245
21.03888889,1016.66,0.55,6.4883
20.73888889,1016.58,0.46,6.5044
22.31666667,1016.27,0.48,7.5348
22.11111111,1015.96,0.5,6.4561
22.73333333,1015.34,0.38,1.0143
22.77777778,1014.7,0.37,5.1842
21.21666667,1015.2,0.41,7.2772
20.18333333,1014.87,0.45,1.4812
18.01111111,1014.78,0.68,0.322
17.42222222,1015.54,0.65,0.5313
13.96111111,1016.01,0.82,0
13.28888889,1016.52,0.89,2.8819
12.32222222,1016.96,0.89,2.4794
11.11666667,1017.04,0.95,3.1717
10.53333333,1017.33,0.95,11.27
12.38333333,1019.59,0.8,4.6207
9.861111111,1017.25,0.96,3.0751
8.872222222,1017.42,0.95,1.5295
8.672222222,1017.74,0.94,3.6386
7.688888889,1018.13,1,0
10.91111111,1018.62,0.99,1.61
14.83888889,1019.08,0.82,2.6565
18.8,1019.11,0.65,1.5295
21.09444444,1019.5,0.49,4.8783
22.02777778,1019.86,0.49,4.2826
22.82777778,1019.79,0.47,3.6225
22.91666667,1019.47,0.37,4.5563
23.91666667,1019.25,0.37,6.2951
23.91111111,1018.89,0.4,2.5599
23.93333333,1018.6,0.37,4.347
23.91666667,1018.67,0.32,1.1753
22.82222222,1018.59,0.44,3.1234
21.22777778,1018.67,0.48,0.4025
19.07777778,1019.22,0.51,2.6887
17.06111111,1019.88,0.63,1.5778
14.90555556,1019.91,0.72,3.7513
13.08333333,1020.02,0.87,3.4132
12.71111111,1020.11,0.89,3.2522
12.12777778,1020.12,0.89,3.1717
11.81111111,1018.38,0.84,4.991
12.01666667,1019.91,0.8,6.2629
12.04444444,1020.03,0.8,6.4239
10.62777778,1020.39,0.86,9.7083
9.911111111,1020.6,0.99,9.1448
12.55555556,1020.81,0.9,7.7441
15.00555556,1021.01,0.78,8.7584
17.33888889,1020.94,0.74,12.1877
19.1,1020.66,0.67,12.6224
21.26111111,1020.53,0.57,9.9176
22.41111111,1020.16,0.54,11.4471
22.93888889,1019.95,0.5,8.5491
23.92777778,1019.43,0.47,11.3022
23.96111111,1018.97,0.47,8.3076
23.96111111,1018.28,0.38,8.5813
23.11111111,1017.97,0.42,10.7065
22.82222222,1017.68,0.44,12.4936
21.11111111,1017.89,0.47,5.2164
18.18888889,1017.96,0.58,4.8622
16.01666667,1018.31,0.72,4.6046
15.46666667,1018.6,0.72,6.44
14.60555556,1018.65,0.76,6.7459
13.31111111,1018.44,0.82,3.542
12.73333333,1018.23,0.83,3.0751
13.78888889,1014.58,0.77,6.0858
10.57777778,1018.11,0.88,6.44
10.48333333,1017.73,0.92,3.22
10.28888889,1017.7,0.91,3.7513
9.972222222,1017.62,0.92,1.5617
13.63888889,1017.54,0.9,2.7048
16.73888889,1017.7,0.74,7.245
18.83888889,1017.78,0.65,3.4132
21.16111111,1017.3,0.59,4.6046
22.58888889,1017.19,0.53,4.4275
22.89444444,1016.68,0.48,7.6636
24.00555556,1016.08,0.47,9.66
24.00555556,1015.62,0.35,8.0017
23.97777778,1014.86,0.44,9.2897
25.04444444,1013.97,0.32,3.5903
24.07777778,1013.39,0.35,4.9588
22.38333333,1013.18,0.45,9.4829
21.20555556,1013.21,0.52,3.6869
18.26111111,1013.75,0.62,6.2146
17.2,1014.13,0.67,14.49
15.99444444,1014.13,0.75,3.1073
15.96111111,1014.06,0.79,12.2843
15.44444444,1013.92,0.72,13.846
14.37222222,1013.82,0.75,10.9963
13.60555556,1012.67,0.9,9.982
12.82222222,1013.04,0.82,6.2468
12.75,1013.03,0.83,3.3488
11.41666667,1012.98,0.92,6.2307
12.33333333,1012.83,0.86,2.4633
14.90555556,1013.03,0.78,10.2879
15.89444444,1013.13,0.74,10.2879
17.22777778,1013.13,0.72,12.0589
17.82777778,1013.1,0.73,7.4704
17.91666667,1013.17,0.72,10.0947
19.05555556,1013,0.67,9.0965
20.14444444,1012.69,0.67,7.5187
20.26111111,1012.54,0.62,3.8962
21.20555556,1011.87,0.62,4.6368
21.25555556,1011.19,0.67,4.8944
20.23333333,1011.17,0.66,7.2128
19.07777778,1011.08,0.71,7.6475
17.94444444,1011.28,0.77,10.5777
15.49444444,1012.08,0.82,20.608
14.14444444,1012.64,0.89,8.4364
14.53888889,1012.79,0.86,11.0768
14.13888889,1012.79,0.86,3.6708
13.4,1012.56,0.9,3.5098
13.42777778,1012.8,0.9,3.3488
11.58888889,1009.9,0.74,5.474
14.42222222,1011.91,0.83,10.7709
13.91666667,1011.72,0.86,10.6904
13.4,1011.51,0.9,10.3201
13.86666667,1011.51,0.9,7.9373
14.90555556,1011.6,0.84,11.27
15.93333333,1011.59,0.74,10.6743
17.12777778,1011.41,0.65,19.8996
18.75,1011.2,0.58,19.4166
18.96111111,1011.25,0.6,17.0499
19.99444444,1010.98,0.54,16.8728
21.11111111,1010.48,0.5,17.3397
21.09444444,1010.24,0.46,21.9604
21.17777778,1009.55,0.43,19.8191
21.22777778,1009.04,0.41,16.4703
20.1,1008.55,0.45,13.7977
19.02777778,1008.17,0.51,9.7888
17.85,1008.46,0.59,14.0553
16.26111111,1008.94,0.66,11.2861
14.98333333,1009.55,0.72,13.9426
14.46666667,1009.57,0.65,11.0285
13.94444444,1009.53,0.6,10.8031
12.31666667,1009.56,0.65,11.1734
11.76111111,1009.47,0.66,10.8997
10.82777778,1011.18,0.62,13.1859
10.13888889,1009.25,0.73,10.948
10.62777778,1008.87,0.71,11.109
10.60555556,1008.82,0.69,13.524
10.07222222,1008.84,0.71,15.5848
11.16111111,1009.07,0.71,21.5257
12.88888889,1009.23,0.67,22.9586
15.05,1009.25,0.6,26.4845
15.16111111,1009.44,0.59,26.726
16.27222222,1009.76,0.56,23.3611
17.8,1009.34,0.46,28.0623
17.93888889,1009.14,0.46,27.9013
18.85555556,1009.01,0.41,25.7439
17.98888889,1008.83,0.43,26.3557
17.96111111,1008.43,0.51,25.0516
17.36111111,1008.7,0.47,25.5668
16.25,1009.03,0.52,23.3289
14.12222222,1009.42,0.47,20.0284
12.95,1010.18,0.55,14.9569
12.24444444,1010.85,0.52,22.9425
11.68888889,1011.08,0.57,19.6581
11.15555556,1011.22,0.59,20.7368
9.216666667,1014.24,0.9,5.8443
8.683333333,1014.73,0.9,5.2486
9.188888889,1013.46,0.77,12.3165
8.594444444,1014.81,0.93,6.2951
7.505555556,1014.35,0.93,1.8515
6.216666667,1014.42,0.95,9.6761
5.855555556,1014.35,0.93,0.4347
5.933333333,1014.55,1,0.1449
10.40555556,1014.91,1,0.7245
12.54444444,1014.44,0.78,7.2611
13.86111111,1014.52,0.77,3.8801
15.97777778,1014.75,0.63,4.669
17.26666667,1014.41,0.57,5.474
17.84444444,1014.02,0.5,2.6726
16.42777778,1013.55,0.54,3.9928
17.77777778,1013.02,0.46,1.6744
17.84444444,1011.95,0.45,4.4275
17.3,1012.11,0.5,5.6672
15.18333333,1012.13,0.65,12.7351
13.00555556,1012.52,0.7,3.7191
12.69444444,1013.08,0.74,7.9373
12.19444444,1013.35,0.72,9.7083
12.08333333,1013.19,0.71,16.9855
10.61666667,1013.54,0.74,10.8514
11.6,1011.68,0.57,16.9855
11.02222222,1011.79,0.6,16.9211
11.88888889,1013.76,0.6,15.939
10.41666667,1011.39,0.64,16.6474
10.3,1011.42,0.67,13.3952
9.483333333,1011.65,0.72,13.3791
9.772222222,1011.83,0.68,12.8317
10.93333333,1012.42,0.67,11.1412
11.65555556,1012.96,0.66,7.1806
13.93888889,1012.97,0.55,21.5579
15.02777778,1013.36,0.54,17.3075
16.03888889,1013.41,0.47,24.5203
15.22777778,1013.34,0.51,20.3665
16.20555556,1013.62,0.44,14.4417
17.3,1013.28,0.43,18.0159
17.77777778,1012.98,0.43,15.8263
17.8,1012.5,0.38,17.2431
17.26111111,1012.61,0.39,16.8728
17.2,1012.88,0.38,15.3111
15.02222222,1012.98,0.45,20.9139
13.92777778,1013.73,0.47,13.3469
12.36666667,1014.17,0.57,9.4346
12.29444444,1014.46,0.59,6.7781
12.78888889,1014.45,0.56,14.4095
9.533333333,1013.49,0.76,7.084
9.972222222,1013.41,0.71,14.4256
4.911111111,1015.4,0.91,1.0143
7.916666667,1013.19,0.78,11.6725
7.383333333,1012.8,0.82,14.6188
7.972222222,1013.1,0.82,11.8496
8.816666667,1013.14,0.84,14.49
8.794444444,1013.64,0.84,23.3289
7.888888889,1014.12,0.89,26.8387
7.8,1014.48,0.96,22.7815
7.822222222,1014.97,0.95,14.2163
7.944444444,1015.66,0.95,9.7727
8.077777778,1015.89,0.94,15.778
10.22777778,1015.69,0.81,11.3183
11.36111111,1015.59,0.74,4.2021
12.45,1015.24,0.7,1.3041
12.91666667,1014.77,0.67,3.6869
12.55,1014.73,0.62,6.4078
12.38333333,1014.49,0.69,9.8049
10.22777778,1014.7,0.75,8.4042
9.227777778,1015.38,0.78,9.5151
7.827777778,1015.81,0.87,7.3738
6.677777778,1015.89,0.91,5.796
6.122222222,1015.9,0.91,6.279
5.327777778,1015.92,0.95,5.8926
4.355555556,1015.89,0.95,10.9158
9.272222222,1007.55,0.89,3.6386
4.261111111,1015.21,0.92,6.0697
3.216666667,1015.18,0.92,6.0697
3.905555556,1014.89,0.92,5.8926
2.711111111,1014.29,0.96,7.9695
3.816666667,1014.35,1,5.2808
6.883333333,1014,0.93,9.1126
8.938888889,1013.53,0.88,15.6814
11.20555556,1013.05,0.79,20.7046
12.85,1012.74,0.7,20.1572
13.96111111,1011.92,0.63,23.9729
14.97777778,1010.87,0.51,23.9568
14.02777778,1009.99,0.57,22.6849
15.02222222,1008.85,0.51,26.7743
15.04444444,1007.74,0.54,20.8817
15.08888889,1007.07,0.5,17.1948
14.95,1006.26,0.51,14.1197
13.81666667,1005.77,0.59,11.1251
12.91666667,1005.19,0.64,11.6886
13.83888889,1004.85,0.59,14.2324
12.75555556,1005.49,0.69,6.2629
12.65,1005.64,0.74,18.1286
11.68888889,1005.45,0.8,11.3183
10.62777778,1005.65,0.88,6.5527
5.666666667,1012.87,0.91,8.7262
10.05,1006.34,0.92,6.6171
9.977777778,1006.47,0.93,2.5921
9.777777778,1007.16,0.95,5.4579
8.661111111,1007.18,0.99,4.7334
7.55,1007.86,0.95,20.3504
7.233333333,1008.4,0.93,13.846
6.044444444,1008.86,0.92,23.6187
6.094444444,1009.1,0.85,22.0892
6.116666667,1010.06,0.82,22.1697
6.066666667,1010.67,0.86,17.7583
6.038888889,1011.06,0.93,17.4524
6.888888889,1011.03,0.93,22.4595
7.061111111,1011.14,0.86,16.1161
6.038888889,1011.61,0.93,20.4631
6.072222222,1011.86,0.93,21.1393
5.044444444,1011.93,0.93,20.6885
5.022222222,1012.4,0.92,14.0231
5.033333333,1013.23,0.93,14.9408
5,1013.8,0.93,11.1251
4.977777778,1014.08,0.93,14.1197
4.933333333,1013.96,0.87,15.939
4.466666667,1013.9,0.92,13.9748
4.444444444,1014.39,0.92,14.329
4.011111111,1016.82,0.83,12.1555
4.905555556,1014.18,0.86,13.7977
4.883333333,1014.27,0.83,10.8836
4.388888889,1014.14,0.89,13.3952
4.838888889,1014.11,0.86,16.8889
4.811111111,1014.41,0.83,15.3433
4.944444444,1014.9,0.84,18.1769
7.2,1014.98,0.65,17.3719
7.777777778,1014.97,0.67,16.261
8.727777778,1015.52,0.64,12.9122
8.983333333,1015.64,0.57,20.4953
10,1015.72,0.5,23.2162
10.09444444,1015.47,0.55,19.2878
11.06111111,1015.24,0.46,14.2646
10.13888889,1015.14,0.42,12.558
11.01111111,1015.13,0.42,9.3541
10.11666667,1015.39,0.49,7.6636
7.916666667,1015.7,0.57,4.4597
7.333333333,1016.2,0.63,2.6243
5.05,1016.83,0.75,3.059
3.933333333,1017.12,0.76,6.2629
4.094444444,1017.38,0.77,6.3434
3.8,1017.32,0.82,6.2146
2.688888889,1017.42,0.85,10.2879
5.066666667,1018.24,0.81,5.635
2.6,1017.33,0.85,6.0536
1.583333333,1017.53,0.92,5.9248
2.155555556,1017.7,0.9,3.2361
0.9555555556,1017.84,0.92,1.5939
0.9555555556,1018.13,0.92,4.5724
5.594444444,1018.47,0.82,0.2254
9.822222222,1018.32,0.66,14.49
11.07222222,1018.59,0.54,1.6744
11.05555556,1018.68,0.48,6.9391
12.24444444,1018.49,0.43,7.1323
12.85,1018.38,0.41,9.1609
12.88888889,1018.35,0.38,9.5795
12.91666667,1017.58,0.4,9.4829
13.88888889,1017.37,0.46,10.3845
13.02222222,1017.37,0.48,12.2038
12.38333333,1017.24,0.49,12.4453
10.20555556,1017.45,0.57,9.8371
9.144444444,1017.83,0.62,7.6475
7.827777778,1018.17,0.68,9.7405
7.733333333,1018.28,0.65,6.7459
7.144444444,1018.37,0.69,6.2146
6.016666667,1018.39,0.74,6.4078
5.461111111,1018.49,0.76,6.601
8.244444444,1015.16,0.72,13.3791
3.838888889,1018.18,0.82,6.6332
2.244444444,1018.29,0.91,3.4776
2.022222222,1018.28,0.93,6.2307
2.172222222,1018.08,0.92,10.7065
3.661111111,1018.6,0.89,10.7226
6.111111111,1018.66,0.79,11.8979
10.00555556,1018.38,0.66,11.4793
12.24444444,1018.46,0.52,17.8066
12.93888889,1018.34,0.5,19.6259
13.98333333,1017.86,0.5,20.6241
15.09444444,1017.26,0.44,16.0839
16.25,1016.76,0.43,14.7798
